Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Coiffeur"	"11.08.2020 09:00"	"11.08.2020 10:00"	"Rappel"	""	""
"Barça avec la team banane"	"02.09.2021"	"09.09.2021"	""	""	""
"Aller chercher lit"	"28.07.2021 14:00"	"28.07.2021 15:00"	"Rappel"	""	""
"Repas Flo, Niels, Romain"	"11.05.2021 18:30"	"11.05.2021 19:30"	"Rappel"	""	""
"Meeting new racing team members"	"08.09.2020 11:00"	"08.09.2020 12:00"	""	""	""
"Annuler rendez-vous test !!"	"06.07.2021 15:00"	"06.07.2021 16:00"	"Rappel"	""	""
"Manger avec Sarah et Jarod"	"16.07.2021 18:00"	"16.07.2021 19:00"	"Rappel"	""	""
"Midi avec Ragul & Gowtham"	"19.05.2021 12:00"	"19.05.2021 13:00"	"Rappel"	""	""
"Manger avec Emma et Jess"	"07.10.2020 12:00"	"07.10.2020 13:00"	"Rappel"	""	""
"UBS PLO"	"09.02.2021 10:00"	"09.02.2021 11:00"	"Rappel"	""	""
"Réunion Logitech"	"13.10.2020 15:00"	"13.10.2020 16:00"	"Rappel"	""	""
"Anni Fatima"	"09.05.2021"	"10.05.2021"	""	""	""
"Appel les barres"	"18.11.2020 20:00"	"18.11.2020 21:00"	"Rappel"	""	""
"Rdv Racing Team"	"21.07.2020 20:00"	"21.07.2020 21:00"	"Rappel"	""	"Lausanne"
"Waymo !!"	"26.08.2020 09:00"	"26.08.2020 10:00"	"Rappel"	""	""
"EPFLRT - First deadline - business plan"	"04.06.2021"	"05.06.2021"	""	""	""
"Aéroport Anabela"	"29.07.2021 16:00"	"29.07.2021 17:00"	"Rappel"	""	""
"Manger avec Flo"	"19.11.2020 20:00"	"19.11.2020 21:00"	"Rappel"	""	""
"Dassault coming to Lausanne"	"01.09.2021"	"02.09.2021"	""	""	""
"Aller voir voiture avec Eloi"	"16.04.2021 14:00"	"16.04.2021 15:00"	"Rappel"	""	""
"Workshop Waymo Day 2"	"26.09.2020 12:00"	"26.09.2020 13:00"	"Rappel"	""	""
"Soirée jeux avec Flo"	"11.03.2021 18:00"	"11.03.2021 19:00"	"Rappel"	""	""
"Répondre mails postulation"	"18.12.2020 11:00"	"18.12.2020 12:00"	"Rappel"	""	""
"Repas avec l’équipe Oktoberfest"	"16.10.2020 19:00"	"16.10.2020 20:00"	"Rappel"	""	""
"Fernando à Morges"	"24.07.2021 18:00"	"24.07.2021 19:00"	"Rappel"	""	""
"Réunion business plan"	"08.03.2021 19:00"	"08.03.2021 20:00"	"Rappel"	""	""
"Numerical methods homework"	"15.12.2020 15:00"	"15.12.2020 16:00"	"Rappel"	""	""
"Ciné avec Ceylin"	"07.08.2020 18:00"	"07.08.2020 19:00"	""	""	""
"Payer polos Racing Team"	"19.06.2021 10:00"	"19.06.2021 11:00"	"Rappel"	""	""
"Meeting Julius Bäer Zürich"	"28.09.2021 13:00"	"28.09.2021 14:00"	"Rappel"	""	""
"Bouffe avec Anna"	"25.05.2021 12:00"	"25.05.2021 13:00"	"Rappel"	""	""
"Oganes"	"21.04.2021 21:00"	"21.04.2021 22:00"	"Rappel"	""	""
"Soirée avec Marina"	"06.10.2020 21:00"	"06.10.2020 22:00"	"Rappel"	""	""
"Theo Le Pelo"	"01.05.2021 16:00"	"01.05.2021 17:00"	"Rappel"	""	""
"Présentation driverless pour l’équipe"	"06.11.2020 18:00"	"06.11.2020 19:00"	"Rappel"	""	""
"Soirée avec Flaminia"	"22.07.2021 19:00"	"22.07.2021 20:00"	"Rappel"	""	""
"Close eToro account"	"15.09.2021"	"16.09.2021"	""	""	""
"Demande armée + cartes business"	"28.10.2020"	"29.10.2020"	""	""	""
"Databases - Deadline milestone (2/3)"	"05.05.2021"	"06.05.2021"	""	""	""
"Annuler dermato"	"26.05.2021 14:30"	"26.05.2021 15:30"	"Rappel"	""	""
"Verre avec Ric"	"19.07.2021 21:00"	"19.07.2021 22:00"	"Rappel"	""	""
"Meeting Dassault x EPFL Racing Team"	"24.03.2021 09:00"	"24.03.2021 10:00"	"Rappel"	""	""
"Physio"	"12.10.2020 18:00"	"12.10.2020 19:00"	"Rappel"	""	""
"Soirée avec les Bg, Ju et Yas"	"19.10.2020 20:00"	"19.10.2020 21:00"	"Rappel"	""	""
"Faire SHS"	"03.06.2021 15:00"	"03.06.2021 16:00"	"Rappel"	""	""
"Bouffe Chris + Benji"	"25.01.2021 20:00"	"25.01.2021 21:00"	"Rappel"	""	""
"Royalty Statement WAD"	"27.07.2021 16:00"	"27.07.2021 17:00"	"Rappel"	""	""
"Databases- Deadline for milestone (1/3)"	"29.03.2021"	"30.03.2021"	""	""	""
"Repas avec team banane + Joris"	"22.01.2021 18:00"	"22.01.2021 19:00"	"Rappel"	""	""
"Rendre programming homework compsec"	"09.10.2020 12:00"	"09.10.2020 13:00"	"Rappel"	""	""
"Réunion colo"	"03.05.2021 20:00"	"03.05.2021 21:00"	"Rappel"	""	""
"Zoom Meeting Prof. Gillet"	"26.08.2020 14:00"	"26.08.2020 15:00"	""	""	""
"Meeting DV EPFLRT"	"05.06.2021 09:20"	"05.06.2021 10:00"	"Rappel"	""	""
"Soirée Romain STCC"	"02.10.2021 22:00"	"03.10.2021 03:00"	"Rappel"	""	""
"Anni Mehdi"	"17.04.2021 18:00"	"17.04.2021 19:00"	"Rappel"	""	""
"Physio"	"24.08.2020 14:30"	"24.08.2020 15:30"	"Rappel"	""	""
"Apéro Élodie + Milan"	"13.04.2021 18:00"	"13.04.2021 19:00"	"Rappel"	""	""
"Physio"	"31.08.2020 14:00"	"31.08.2020 15:00"	""	""	""
"Payer Zalando"	"28.08.2021"	"29.08.2021"	""	""	""
"Repetitoire André"	"08.02.2021 16:30"	"08.02.2021 17:30"	"Rappel"	""	""
"Manger avec Mile"	"01.02.2021 20:00"	"01.02.2021 21:00"	"Rappel"	""	""
"Repas avec Flo"	"03.02.2021 20:00"	"03.02.2021 21:00"	"Rappel"	""	""
"Ceylin lac"	"28.08.2020 15:00"	"28.08.2020 16:00"	"Rappel"	""	""
"Jojo"	"09.08.2020 18:00"	"09.08.2020 19:00"	"Rappel"	""	""
"Bouffe avec Simon"	"24.06.2021 20:00"	"24.06.2021 21:00"	"Rappel"	""	""
"Réunion journée UNO"	"03.05.2021 19:00"	"03.05.2021 20:00"	"Rappel"	""	""
"Meeting EPFLRT"	"06.06.2021 14:00"	"06.06.2021 15:00"	"Rappel"	""	""
"PDC project presentation"	"04.06.2021 11:00"	"04.06.2021 11:10"	"Rappel"	""	""
"Call Manu EPFLRT"	"14.08.2021 13:00"	"14.08.2021 14:00"	"Rappel"	""	""
"Interview avec Helvetia Environment"	"29.09.2021 10:00"	"29.09.2021 12:00"	"Rappel"	""	""
"Travail de groupe database"	"02.05.2021 09:00"	"02.05.2021 12:00"	"Rappel"	""	""
"Voir PLD et Marionde"	"03.02.2021 17:00"	"03.02.2021 18:00"	"Rappel"	""	""
"Bouffe avec Simon"	"26.01.2021 19:00"	"26.01.2021 20:00"	"Rappel"	""	""
"OSS117"	"20.09.2021 21:00"	"20.09.2021 22:00"	"Rappel"	""	""
"Soirée Nylsa, Yas et Juju"	"31.03.2021 19:00"	"31.03.2021 20:00"	"Rappel"	""	""
"Anni Victor (pote de Jimmy)"	"12.07.2020 18:00"	"12.07.2020 19:00"	"Rappel"	""	""
"Call avec Sam"	"08.03.2021 15:00"	"08.03.2021 16:00"	"Rappel"	""	""
"Fernando à la maison"	"30.01.2021 19:00"	"30.01.2021 20:00"	"Rappel"	""	""
"Faire signer contrat Lemo"	"13.09.2021 15:00"	"13.09.2021 16:00"	"Rappel"	""	""
"Soirée Genève avec Théa + Marina"	"10.09.2020 19:00"	"10.09.2020 20:00"	"Rappel"	""	""
"Relancer Prof Thiran + Brady"	"23.02.2021 11:00"	"23.02.2021 12:00"	"Rappel"	""	""
"Soirée natation + pizza avec Flo et Romain"	"05.11.2020 18:00"	"05.11.2020 19:00"	"Rappel"	""	""
"Ligar No"	"11.05.2021 19:00"	"11.05.2021 20:00"	"Rappel"	""	""
"Soirée Sallaz"	"23.05.2021 19:00"	"23.05.2021 20:00"	"Rappel"	""	""
"Verre avec Nylsa"	"14.06.2021 18:00"	"14.06.2021 19:00"	"Rappel"	""	""
"Appeler avó"	"14.04.2021 16:00"	"14.04.2021 17:00"	"Rappel"	""	""
"Call Tia Sarah"	"09.08.2021 17:00"	"09.08.2021 18:00"	"Rappel"	""	""
"Rendez-vous team leaders en Spark"	"27.05.2021 08:00"	"27.05.2021 09:00"	"Rappel"	""	""
"Verre avec Jojo, Keran, Marin et Gaetan"	"23.10.2020 16:00"	"23.10.2020 17:00"	"Rappel"	""	""
"Appeler Iris"	"05.07.2021 21:00"	"05.07.2021 22:00"	"Rappel"	""	""
"Bouffe Simon"	"18.05.2021 18:00"	"18.05.2021 19:00"	"Rappel"	""	""
"Physio"	"15.07.2020 16:00"	"15.07.2020 17:00"	"Rappel"	""	""
"Faire demande 3DEXPERIENCE"	"29.07.2021 10:30"	"29.07.2021 11:30"	"Rappel"	""	""
"Physio"	"28.09.2020 17:00"	"28.09.2020 18:00"	""	""	""
"Écrire la colère"	"08.01.2021 21:00"	"08.01.2021 22:00"	"Rappel"	""	""
"Verre avec Clara"	"15.08.2020 20:00"	"15.08.2020 21:00"	""	""	""
"Rangement de Spark"	"20.09.2021 14:00"	"20.09.2021 20:00"	"Rappel"	""	""
"Riverside"	"25.07.2020 18:00"	"25.07.2020 18:00"	"Rappel"	""	""
"Voir Emma"	"06.12.2020 18:00"	"06.12.2020 19:00"	"Rappel"	""	""
"Appel Nico"	"29.04.2021 17:00"	"29.04.2021 18:00"	"Rappel"	""	""
"1ère dose vaccin COVID (CHUV)"	"21.05.2021 08:30"	"21.05.2021 09:30"	"Rappel"	""	""
"Grosse race Jess"	"25.08.2020 19:00"	"25.08.2020 20:00"	""	""	""
"Business plan"	"24.05.2021 15:30"	"24.05.2021 21:30"	"Rappel"	""	""
"Rendez-vous dermato"	"28.06.2021 11:45"	"28.06.2021 12:15"	"Rappel"	""	""
"Marathon de Genève avec Susi et Nico"	"15.05.2022"	"16.05.2022"	""	""	""
"Meeting sponsoring (GreenGT)"	"24.03.2021 18:00"	"24.03.2021 19:00"	"Rappel"	""	""
"Karting Racing Team"	"29.10.2020 20:00"	"29.10.2020 21:00"	"Rappel"	""	""
"Call avec PA"	"04.03.2021 16:30"	"04.03.2021 17:30"	"Rappel"	""	""
"Liste Felipe"	"25.02.2021 12:00"	"25.02.2021 13:00"	"Rappel"	""	""
"Chez Chris"	"04.04.2021 13:00"	"04.04.2021 14:00"	"Rappel"	""	""
"Business Plan EPFLRT"	"15.07.2021 18:15"	"15.07.2021 19:15"	"Rappel"	""	""
"Zoom meeting with professeur Alahi"	"26.08.2020 16:00"	"26.08.2020 17:00"	""	""	""
"Joris Yverdon"	"04.02.2021 15:00"	"04.02.2021 16:00"	"Rappel"	""	""
"Repas Chris et Benji"	"18.03.2021 19:00"	"18.03.2021 20:00"	"Rappel"	""	""
"Aller nager avec Flo"	"15.10.2020 15:00"	"15.10.2020 16:00"	"Rappel"	""	""
"Meetings EPFLRT"	"03.06.2021 09:00"	"03.06.2021 10:00"	"Rappel"	""	""
"Bière PA + Chris"	"09.04.2021 17:30"	"09.04.2021 18:30"	"Rappel"	""	""
"Soirée team banane"	"19.07.2021 19:00"	"19.07.2021 20:00"	"Rappel"	""	""
"Meeting John"	"15.02.2021 19:00"	"15.02.2021 20:00"	"Rappel"	""	""
"Grosse soirée"	"27.04.2021"	"28.04.2021"	""	""	""
"Soirée Racing Team anciens"	"23.09.2021 19:00"	"23.09.2021 20:00"	"Rappel"	""	""
"Anni Flo"	"29.11.2020 12:00"	"29.11.2020 13:00"	"Rappel"	""	""
"Coupe de Noël"	"01.12.2020 12:00"	"01.12.2020 13:00"	"Rappel"	""	""
"Anni Juju"	"19.06.2021 23:00"	"20.06.2021 00:00"	"Rappel"	""	""
"PDC graded homework released (10%)"	"05.05.2021 12:00"	"05.05.2021 13:00"	"Rappel"	""	""
"Date Louise Tinder"	"22.09.2021 20:00"	"22.09.2021 21:00"	"Rappel"	""	""
"Passer chez Logitech avec Laura et Chris"	"12.02.2021 14:00"	"12.02.2021 15:00"	"Rappel"	""	""
"Rendez-vous Business Plan"	"18.05.2021 15:30"	"18.05.2021 16:30"	"Rappel"	""	""
"Grosse khapta Yas + Milan + Simon"	"04.12.2020 20:00"	"04.12.2020 21:00"	"Rappel"	""	""
"Semi marathon avec Susi et Nico"	"07.11.2021"	"08.11.2021"	""	""	""
"Passer chez Chantal"	"26.06.2021 18:00"	"26.06.2021 19:00"	"Rappel"	""	""
"Ligar Tia Sarah"	"16.08.2020 12:00"	"16.08.2020 13:00"	"Rappel"	""	""
"Jessie"	"21.12.2020 20:00"	"21.12.2020 21:00"	"Rappel"	""	""
"Repas avec Emma Penfrat"	"14.05.2021 12:00"	"14.05.2021 13:00"	"Rappel"	""	""
"Resto avec les GUI"	"05.06.2021 20:00"	"05.06.2021 22:00"	"Rappel"	""	""
"Zoom meeting Coline"	"12.02.2021 15:00"	"12.02.2021 16:00"	"Rappel"	""	""
"Call tia Sarah"	"22.09.2020 21:30"	"22.09.2020 22:30"	""	""	""
"Midi avec Théa et PLD"	"01.10.2020 13:00"	"01.10.2020 14:00"	"Rappel"	""	""
"Meeting Dassault avec Hippo"	"02.03.2021 12:00"	"02.03.2021 13:00"	"Rappel"	""	""
"Lac avec Simon"	"21.07.2021 16:00"	"21.07.2021 17:00"	"Rappel"	""	""
"Soirée Flo"	"16.02.2021 17:30"	"16.02.2021 18:30"	"Rappel"	""	""
"Anni Nylsa"	"04.03.2021 18:00"	"04.03.2021 19:00"	"Rappel"	""	""
"Voir Amy"	"30.07.2021 16:00"	"30.07.2021 17:00"	"Rappel"	""	""
"Présentation Alahi"	"11.11.2020 14:00"	"11.11.2020 15:00"	"Rappel"	""	""
"Call Projet Bachelor"	"22.01.2021 13:00"	"22.01.2021 14:00"	"Rappel"	""	""
"Appeler pour rendez-vous barbier"	"29.09.2020 09:45"	"29.09.2020 10:45"	"Rappel"	""	""
"Jojo"	"16.09.2021 13:30"	"16.09.2021 14:30"	"Rappel"	""	""
"Voir Philippe"	"18.06.2021 18:00"	"18.06.2021 19:00"	"Rappel"	""	""
"Aprèm avec Nylsa et Yas"	"11.09.2020 16:00"	"11.09.2020 17:00"	""	""	""
"Call Nicoboy"	"09.03.2021 17:00"	"09.03.2021 18:00"	"Rappel"	""	""
"PRENDRE GROS ORDI"	"02.03.2021 15:00"	"02.03.2021 16:00"	"Rappel"	""	""
"Soirée avec les boys"	"04.09.2020 19:00"	"04.09.2020 20:00"	""	""	""
"Racing team beers"	"10.02.2021 17:00"	"10.02.2021 18:00"	"Rappel"	""	""
"Call Tia Sarah"	"31.01.2021 12:00"	"31.01.2021 13:00"	"Rappel"	""	""
"Hardware meeting with the team"	"21.09.2020 20:00"	"21.09.2020 21:00"	"Rappel"	""	""
"Grosse Khapta Milan, Élodie, la totale"	"14.10.2020 20:00"	"14.10.2020 21:00"	"Rappel"	""	""
"Meeting JB - Problème de contrat"	"28.04.2021 15:00"	"28.04.2021 15:30"	"Rappel"	""	""
"Appel Mile"	"28.04.2021 20:00"	"28.04.2021 21:00"	"Rappel"	""	""
"Amy"	"04.05.2021 16:00"	"04.05.2021 17:00"	"Rappel"	""	""
"Manger chez Fatima"	"13.02.2021 12:00"	"13.02.2021 13:00"	"Rappel"	""	""
"Chez Théa"	"08.09.2020"	"10.09.2020"	""	""	""
"Soirée Annixalex"	"25.06.2021 20:30"	"26.06.2021 00:00"	"Rappel"	""	""
"Fondue team banane"	"16.03.2021 18:30"	"16.03.2021 19:30"	"Rappel"	""	""
"Nicoboy, Jess et Théo rendez-vous"	"18.02.2021 19:00"	"18.02.2021 20:00"	"Rappel"	""	""
"Vente machine à café"	"21.09.2021 16:00"	"21.09.2021 17:00"	"Rappel"	""	""
"Tia Sarah Call"	"19.09.2020 11:00"	"19.09.2020 12:00"	""	""	""
"Do Heloïse"	"09.09.2021 18:00"	"09.09.2021 19:00"	"Rappel"	""	""
"Ski Saas-Fee"	"20.03.2021 08:00"	"20.03.2021 09:00"	"Rappel"	""	""
"Répondre à Marcel"	"18.02.2021 17:00"	"18.02.2021 18:00"	"Rappel"	""	""
"Hardware meeting with Carlos"	"22.09.2020 20:00"	"22.09.2020 21:00"	"Rappel"	""	""
"Philippe café"	"23.07.2021 10:30"	"23.07.2021 11:30"	"Rappel"	""	""
"Décider meeting team leaders"	"27.08.2021 16:45"	"27.08.2021 17:45"	"Rappel"	""	""
"Document Slides Alahi"	"05.11.2020"	"06.11.2020"	""	""	""
"Meeting sponsoring"	"19.09.2021 13:00"	"19.09.2021 14:00"	"Rappel"	""	""
"PLD et Marion"	"15.09.2021 13:00"	"15.09.2021 15:00"	"Rappel"	""	""
"Meeting EPFL x Dassault"	"26.03.2021 09:30"	"26.03.2021 10:00"	"Rappel"	""	""
"Appel Appartment tour"	"30.10.2020 17:00"	"30.10.2020 18:00"	"Rappel"	""	""
"Physio"	"21.10.2020 16:30"	"21.10.2020 17:30"	"Rappel"	""	""
"Raclette Fernando"	"26.02.2021 19:30"	"26.02.2021 20:30"	"Rappel"	""	""
"Call Logitech"	"30.03.2021 15:00"	"30.03.2021 16:00"	"Rappel"	""	""
"Mec FMEL Chambre"	"06.07.2021 11:00"	"06.07.2021 12:00"	"Rappel"	""	""
"STCC / EPFL Racing Team"	"25.03.2021 09:00"	"25.03.2021 10:00"	"Rappel"	""	""
"Reu colo bordu"	"18.07.2021 14:00"	"18.07.2021 15:00"	"Rappel"	""	""
"Internet Analytics Lab"	"11.05.2021"	"12.05.2021"	""	""	""
"Ski Saas-Fee"	"08.04.2021"	"09.04.2021"	""	""	""
"Manger avec Flo"	"07.10.2020 20:30"	"07.10.2020 21:30"	"Rappel"	""	""
"Remplir doc sponsoring Colin"	"28.08.2021"	"29.08.2021"	""	""	""
"Exam: Intro Info Visu"	"21.08.2020 16:00"	"21.08.2020 19:00"	""	""	""
"Intro database project"	"22.05.2021 10:00"	"22.05.2021 11:00"	"Rappel"	""	""
"Épisode villa avec Flo"	"18.08.2020 21:00"	"18.08.2020 22:00"	""	""	""
"Leonor en Suisse"	"12.10.2021"	"22.10.2021"	""	""	""
"Soirée appart"	"13.05.2021 20:00"	"14.05.2021 00:00"	"Rappel"	""	""
"Anni Clémence"	"27.06.2021"	"28.06.2021"	""	""	""
"Repas Colo"	"13.09.2020 13:00"	"13.09.2020 14:00"	""	""	""
"Zoom meeting Krzysztof"	"25.08.2020 14:00"	"25.08.2020 15:00"	""	""	""
"Rendez-vous Médecin"	"16.10.2020 15:00"	"16.10.2020 16:00"	"Rappel"	""	""
"Rendez-vous LV"	"05.06.2021 17:00"	"05.06.2021 18:00"	"Rappel"	""	""
"CompSec mini-exam"	"28.09.2020 10:00"	"28.09.2020 11:00"	"Rappel"	""	""
"Rdv Jessie sortie"	"01.07.2020 21:00"	"01.07.2020 22:00"	"Rappel"	""	""
"Meeting COM EPFLRT"	"01.06.2021 16:00"	"01.06.2021 16:10"	"Rappel"	""	""
"Faire CV pour Nvidia"	"26.02.2021 14:00"	"26.02.2021 15:00"	"Rappel"	""	""
"Database"	"24.04.2021 08:30"	"24.04.2021 09:30"	"Rappel"	""	""
"Rdv avec Ceylin - Lac"	"26.08.2020 15:30"	"26.08.2020 16:30"	""	""	""
"Rappeler sponsoring mails"	"11.12.2020 18:00"	"11.12.2020 19:00"	"Rappel"	""	""
"Regarder pour lancer équipe sur 3DXPERIENCE"	"28.08.2021"	"29.08.2021"	""	""	""
"Rendez vous EMC dans bureaux"	"27.07.2021 14:15"	"27.07.2021 15:15"	"Rappel"	""	""
"Sallaz Kookie"	"17.05.2021 19:00"	"17.05.2021 23:30"	"Rappel"	""	""
"Exam: Intro Machine Learning"	"24.08.2020 08:00"	"24.08.2020 10:00"	""	""	""
"Place des grottes avec Rasput"	"01.04.2021 17:00"	"01.04.2021 18:00"	"Rappel"	""	""
"Meeting Juan Pablo"	"31.08.2020 17:30"	"31.08.2020 18:30"	""	""	""
"Villa avec Flo"	"02.12.2020 21:00"	"02.12.2020 22:00"	"Rappel"	""	""
"Bouffe avec Milan et Simon"	"04.06.2021 12:00"	"04.06.2021 13:00"	"Rappel"	""	""
"Présentation EPFLRT"	"25.05.2021 18:00"	"25.05.2021 19:00"	"Rappel"	""	""
"Bière avec Keran"	"02.10.2020 15:00"	"02.10.2020 16:00"	""	""	""
"Manger chez Emma"	"24.07.2020 20:00"	"24.07.2020 21:00"	"Rappel"	""	""
"Physio"	"13.07.2020 13:30"	"13.07.2020 14:30"	"Rappel"	""	""
"Restaurant Gui"	"01.05.2021 19:00"	"01.05.2021 22:00"	"Rappel"	""	""
"Soirée avec Alexandra"	"28.08.2020 19:00"	"28.08.2020 20:00"	""	""	""
"Repousser armée"	"24.10.2020 12:00"	"24.10.2020 13:00"	"Rappel"	""	""
"Repetitoire André"	"09.02.2021 14:00"	"09.02.2021 15:00"	"Rappel"	""	""
"Rendez-vous Sats"	"17.07.2020 15:00"	"17.07.2020 16:00"	""	""	""
"Physio"	"02.09.2020 14:00"	"02.09.2020 15:00"	"Rappel"	""	""
"Video business plan"	"03.06.2021 17:00"	"03.06.2021 18:00"	"Rappel"	""	""
"Cafe Jojo"	"02.04.2021 16:00"	"02.04.2021 17:00"	"Rappel"	""	""
"Soirée Fireball"	"06.05.2021 18:00"	"06.05.2021 23:00"	"Rappel"	""	""
"Bière Cec"	"07.09.2020 18:30"	"07.09.2020 19:30"	"Rappel"	""	""
"Repas chez Anabela"	"27.03.2021 19:00"	"27.03.2021 20:00"	"Rappel"	""	""
"Regarder pour voiture"	"27.07.2021 11:00"	"27.07.2021 12:00"	"Rappel"	""	""
"Call Tia Sarah"	"07.02.2021 14:00"	"07.02.2021 15:00"	"Rappel"	""	""
"Payer polos EPFLRT"	"28.06.2021 16:00"	"28.06.2021 17:00"	"Rappel"	""	""
"Répondre mail Ouster + envoyer mail père Élodie"	"28.02.2021 11:00"	"28.02.2021 12:00"	"Rappel"	""	""
"CANCEL BLOOMBERG"	"22.04.2021 12:00"	"22.04.2021 13:00"	"Rappel"	""	""
"Anni Clem Co"	"07.07.2020 12:00"	"07.07.2020 13:00"	"Rappel"	""	""
"Mini exa compsec"	"14.12.2020 12:00"	"14.12.2020 13:00"	"Rappel"	""	""
"Marina"	"09.11.2020 20:00"	"09.11.2020 21:00"	"Rappel"	""	""
"Call avec Anna"	"01.05.2021 14:00"	"01.05.2021 15:00"	"Rappel"	""	""
"Prendre bières boîte à lait !!"	"21.10.2020"	"22.10.2020"	""	""	""
"Physio"	"14.10.2020 18:00"	"14.10.2020 19:00"	"Rappel"	""	""
"Mail caméras"	"16.12.2020 16:00"	"16.12.2020 17:00"	"Rappel"	""	""
"Meeting José pour STCC"	"20.04.2021 16:00"	"20.04.2021 17:00"	"Rappel"	""	""
"Manger avec le squad"	"09.07.2020 19:00"	"09.07.2020 20:00"	"Rappel"	""	""
"Mail Swissquote / EMC"	"15.09.2021 18:00"	"15.09.2021 19:00"	"Rappel"	""	""
"Physio"	"08.07.2020 13:30"	"08.07.2020 14:30"	"Rappel"	""	""
"Déménagement papa"	"24.07.2021 11:00"	"24.07.2021 12:00"	"Rappel"	""	""
"Midi avec Sara"	"16.12.2020 12:30"	"16.12.2020 13:30"	"Rappel"	""	""
"Portugal - France avec Nico"	"23.06.2021 21:00"	"23.06.2021 22:00"	"Rappel"	""	""
"Meeting DV EPFLRT"	"03.06.2021 13:10"	"03.06.2021 13:20"	"Rappel"	""	""
"Refaire passeport"	"15.09.2020 09:15"	"15.09.2020 10:15"	""	""	""
"Work session for EPFLRT"	"05.05.2021 19:00"	"06.05.2021 00:00"	"Rappel"	""	""
"Anni Jess"	"19.06.2021 20:00"	"19.06.2021 21:00"	"Rappel"	""	""
"Exam: Analyse IV"	"04.08.2020 16:00"	"04.08.2020 18:00"	"Rappel"	""	""
"Rolex avec Élodie"	"01.10.2020 08:30"	"01.10.2020 09:30"	"Rappel"	""	""
"Midi avec Théo et Jess"	"06.04.2021 12:00"	"06.04.2021 13:00"	"Rappel"	""	""
"Mix zoom Chris"	"26.03.2021 20:00"	"26.03.2021 21:00"	"Rappel"	""	""
"Descente du Rhône"	"30.08.2020 12:00"	"30.08.2020 13:00"	""	""	""
"Mastering en Studio"	"08.07.2020 11:00"	"08.07.2020 12:00"	"Rappel"	""	""
"Bosser avec Simon"	"27.05.2021 12:00"	"27.05.2021 17:00"	"Rappel"	""	""
"Meeting EMC / Swissquote"	"15.09.2021 11:00"	"15.09.2021 12:00"	"Rappel"	""	""
"Meeting Spark avec Colin"	"02.06.2021 09:00"	"02.06.2021 10:00"	"Rappel"	""	""
"Call avec Matthieu pour unit testing"	"27.02.2021 11:00"	"27.02.2021 12:00"	"Rappel"	""	""
"Aprèm avec Jojo"	"26.07.2021 14:00"	"26.07.2021 17:00"	"Rappel"	""	""
"Date Lara ?"	"30.06.2021 16:00"	"30.06.2021 17:00"	"Rappel"	""	""
"Apéro Simon"	"22.04.2021 16:00"	"22.04.2021 17:00"	"Rappel"	""	""
"Appel avec Flo"	"30.10.2020 10:00"	"30.10.2020 11:00"	"Rappel"	""	""
"Verre avec Ofé"	"29.09.2021 19:00"	"29.09.2021 20:00"	"Rappel"	""	""
"Michael"	"26.02.2021 15:00"	"26.02.2021 16:00"	"Rappel"	""	""
"Verre avec Hannah"	"21.09.2021 19:00"	"21.09.2021 20:00"	"Rappel"	""	""
"Doc Emmanuel DV + remettre template contrats à neuf"	"29.07.2021 11:00"	"29.07.2021 12:00"	"Rappel"	""	""
"Resto avec Marianna et Jo"	"20.10.2020 20:00"	"20.10.2020 21:00"	"Rappel"	""	""
"Dermato"	"07.12.2020 15:30"	"07.12.2020 16:30"	"Rappel"	""	""
"Anni Pidoux"	"05.03.2021 10:00"	"05.03.2021 11:00"	"Rappel"	""	""
"AG Racing Team"	"23.09.2020 19:00"	"23.09.2020 20:00"	""	""	""
"Appel Théo"	"10.05.2021 19:00"	"10.05.2021 20:00"	"Rappel"	""	""
"Call PLD"	"14.11.2020 11:00"	"14.11.2020 12:00"	"Rappel"	""	""
"Meeting Dassault"	"23.07.2021 15:30"	"23.07.2021 16:30"	"Rappel"	""	""
"Soirée avec Théa et la Marionde"	"03.09.2020 19:00"	"03.09.2020 20:00"	""	""	""
"Verre avec Rina"	"08.07.2020 18:30"	"08.07.2020 19:30"	"Rappel"	""	""
"Physio"	"07.10.2020 17:00"	"07.10.2020 18:00"	"Rappel"	""	""
"Convoquer AG"	"30.08.2021"	"31.08.2021"	""	""	""
"Nico + Theo"	"01.12.2020 20:00"	"01.12.2020 21:00"	"Rappel"	""	""
"Sat avec Sam"	"22.09.2021 15:00"	"22.09.2021 16:00"	"Rappel"	""	""
"Aller chercher échantillons Gippa"	"11.05.2021 15:45"	"11.05.2021 16:45"	"Rappel"	""	""
"Viscon"	"05.10.2020"	"11.10.2020"	"viscon.ethz.ch"	""	""
"Verre Nico"	"05.06.2021 14:00"	"05.06.2021 17:00"	"Rappel"	""	""
"Envoyer message Slack"	"18.09.2021 19:00"	"18.09.2021 20:00"	"Rappel"	""	""
"Meeting Marcel LRT"	"24.02.2021 13:00"	"24.02.2021 14:00"	"Rappel"	""	""
"Rendre Homework Algebra"	"23.11.2020 12:00"	"23.11.2020 13:00"	"Rappel"	""	""
"Meeting Driverless"	"24.02.2021 19:00"	"24.02.2021 20:00"	"Rappel"	""	""
"Register for racing team workshop"	"25.08.2020 11:00"	"25.08.2020 12:00"	""	""	""
